               precision    recall  f1-score   support

            head       0.40      0.71      0.51        14
  human-skeleton       1.00      0.42      0.59        12
           chair       0.80      0.80      0.80        10
         pretzel       0.89      0.67      0.76        12
          shovel       0.68      0.68      0.68        22
            leaf       0.32      0.46      0.37        13
       parachute       0.85      0.58      0.69        19

           house       1.00      0.06      0.11        18

       hamburger       0.60      0.80      0.69        15
      chandelier       0.73      0.38      0.50        21
            tire       0.46      0.52      0.49        21
           truck       0.50      0.18      0.26        17
      frying-pan       0.56      0.91      0.69        11

            lion       0.00      0.00      0.00        13

            vase       0.41      0.81      0.54        16
       saxophone       1.00      0.42      0.59        19
             pen       0.23      0.53      0.32        17
       motorbike       0.88      0.47      0.61        15
         penguin       0.53      0.62      0.57        13
          hammer       0.40      0.93      0.56        15
            bush       0.44      0.42      0.43        19
      sponge_bob       1.00      0.80      0.89        15
        mushroom       0.71      0.36      0.48        14
           mouth       0.67      0.57      0.62        14
     wheelbarrow       0.56      0.47      0.51        19
         seagull       0.11      0.05      0.07        21

             cat       0.17      0.05      0.08        20

          pigeon       0.27      0.45      0.34        22
      cell_phone       0.79      0.79      0.79        14
             hat       0.55      0.67      0.60        18

       bulldozer       0.17      0.08      0.11        12

      toothbrush       0.65      0.83      0.73        18
       telephone       0.54      0.58      0.56        12

      binoculars       0.50      0.06      0.11        16

      flashlight       0.00      0.00      0.00        13

      paper_clip       0.83      0.33      0.48        15
             van       0.33      0.18      0.24        11
          camera       0.57      0.71      0.63        17
   crane_machine       0.62      0.38      0.47        21
             bee       0.67      0.33      0.44        12
       submarine       0.45      0.42      0.43        24
flower_with_stem       0.24      0.92      0.39        13
     santa_claus       0.57      0.29      0.38        14

     screwdriver       0.12      0.07      0.09        14

            comb       1.00      0.57      0.73        14
           angel       0.36      0.22      0.28        18
            cake       0.20      0.28      0.23        18
       cigarette       0.36      0.73      0.48        11
  satellite_dish       0.46      0.55      0.50        22
           camel       0.78      0.47      0.58        15
        backpack       1.00      0.29      0.44        14
     bear_animal       0.75      0.19      0.30        16
            frog       0.32      0.30      0.31        20
             axe       0.47      0.62      0.53        13
          ladder       0.58      1.00      0.74        14
           wheel       0.50      0.38      0.43        13
         mailbox       0.60      0.55      0.57        11
             cup       0.23      0.40      0.29        15
         lobster       0.29      0.44      0.35        16
   parking_meter       0.83      0.67      0.74        15
             dog       0.75      0.18      0.29        17
             suv       0.50      0.64      0.56        14
    fire_hydrant       0.75      0.88      0.81        17
          guitar       0.86      0.38      0.52        16
          bridge       0.18      0.31      0.23        16
      teddy-bear       1.00      0.20      0.33        10
      floor_lamp       0.54      0.70      0.61        20
             ear       0.62      0.62      0.62        13
       crocodile       0.45      0.50      0.47        18
         cabinet       0.50      0.20      0.29        15
        kangaroo       0.62      0.50      0.55        16
         ashtray       0.19      0.29      0.23        14
  person_walking       0.50      0.87      0.63        15
       satellite       0.50      0.39      0.44        23
  computer-mouse       0.67      0.38      0.48        16
       lightbulb       0.69      0.79      0.73        14
      sea_turtle       0.45      0.31      0.37        16
           socks       0.41      0.78      0.54         9
              tv       0.56      0.69      0.62        13
   standing_bird       0.18      0.33      0.23         9
        race_car       0.31      0.53      0.39        17

        scorpion       0.20      0.06      0.10        16

            fish       0.43      0.20      0.27        15
           apple       0.79      0.65      0.71        17
          laptop       0.73      0.67      0.70        12
             fan       0.70      0.47      0.56        15
         giraffe       0.88      0.71      0.79        21
   space_shuttle       0.19      0.50      0.28        10
            door       0.38      0.33      0.35         9
        revolver       0.59      0.83      0.69        12
        elephant       0.60      0.19      0.29        16
             bed       0.33      0.29      0.31        14
           table       0.57      0.57      0.57        14
      strawberry       0.92      0.86      0.89        14
     door_handle       0.35      0.41      0.38        17
         dolphin       0.29      0.47      0.36        17
